seq_id	start_fill_color	start_stroke_color	done_fill_color	done_stroke_color	footnote	curve_spectre_edges	img_width	img_height	px_0	py_0	px_1	py_1	px_2	py_2	px_3	py_3	px_4	py_4	px_5	py_5	px_6	py_6	px_7	py_7	px_8	py_8	px_9	py_9	px_10	py_10	px_11	py_11	px_12	py_12	px_13	py_13
47	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.696153	5.830129	17.196153	6.696154	18.062178	7.196154	18.928204	6.696154	19.428204	7.562180	20.428204	7.562180	21.428204	7.562180	21.928204	6.696155	21.062179	6.196155	21.062179	5.196155	20.062179	5.196155	19.562179	4.330129	18.696153	4.830129	18.696153	5.830129
48	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	17.330126	1.732052	16.330126	1.732052	16.330126	2.732052	17.196152	3.232052	16.696152	4.098078	17.196152	4.964103	17.696152	5.830128	18.696152	5.830128	18.696152	4.830128	19.562177	4.330128	19.062177	3.464103	19.562177	2.598077	18.696151	2.098077	17.830126	2.598077
49	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	16.696153	4.098077	17.196153	3.232052	16.330128	2.732052	15.464103	3.232052	14.964103	2.366027	13.964103	2.366027	12.964103	2.366027	12.464103	3.232052	13.330128	3.732052	13.330128	4.732052	14.330128	4.732052	14.830128	5.598077	15.696153	5.098077	15.696153	4.098077
50	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	9.598078	4.732052	10.098078	5.598077	10.964103	5.098077	10.964103	4.098077	11.964103	4.098077	12.464103	3.232052	12.964103	2.366027	12.464103	1.500002	11.598078	2.000002	10.732053	1.500002	10.232053	2.366027	9.232053	2.366027	9.232053	3.366027	10.098078	3.866027
51	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	11.232053	0.633977	10.732053	1.500002	11.598078	2.000002	12.464103	1.500002	12.964103	2.366027	13.964103	2.366027	14.964103	2.366027	15.464103	1.500002	14.598078	1.000002	14.598078	0.000002	13.598078	0.000002	13.098078	-0.866023	12.232053	-0.366023	12.232053	0.633977
52	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	11.232053	0.633977	12.232053	0.633977	12.232053	-0.366023	11.366028	-0.866023	11.866028	-1.732048	11.366028	-2.598073	10.866028	-3.464098	9.866028	-3.464098	9.866028	-2.464098	9.000003	-1.964098	9.500003	-1.098073	9.000003	-0.232048	9.866028	0.267952	10.732053	-0.232048
53	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.866028	3.000002	8.366028	3.866027	9.232053	3.366027	9.232053	2.366027	10.232053	2.366027	10.732053	1.500002	11.232053	0.633977	10.732053	-0.232048	9.866028	0.267952	9.000003	-0.232048	8.500003	0.633977	7.500003	0.633977	7.500003	1.633977	8.366028	2.133977
54	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	6.133978	1.267952	6.633978	2.133977	7.500003	1.633977	7.500003	0.633977	8.500003	0.633977	9.000003	-0.232048	9.500003	-1.098073	9.000003	-1.964098	8.133978	-1.464098	7.267953	-1.964098	6.767953	-1.098073	5.767953	-1.098073	5.767953	-0.098073	6.633978	0.401927
55	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	2.401927	-0.464099	1.901927	0.401926	2.767952	0.901926	3.633978	0.401926	4.133978	1.267952	5.133978	1.267952	6.133978	1.267952	6.633978	0.401927	5.767953	-0.098073	5.767953	-1.098073	4.767953	-1.098073	4.267953	-1.964099	3.401927	-1.464099	3.401927	-0.464099
56	#d0d0d0	#000000	#00000000	#00000000			48.016656	43.748711	7.866028	3.000002	8.366028	2.133977	7.500003	1.633977	6.633978	2.133977	6.133978	1.267952	5.133978	1.267952	4.133978	1.267952	3.633978	2.133977	4.500003	2.633977	4.500003	3.633977	5.500003	3.633977	6.000003	4.500002	6.866028	4.000002	6.866028	3.000002
